,query,score,attack
340,Q341,170,1
341,Q342,10,0
342,Q343,136,1
343,Q344,8,0
344,Q345,57,0
345,Q346,165,1
346,Q347,76,0
347,Q348,9,0
348,Q349,188,1
349,Q350,132,1
350,Q351,142,1
351,Q352,62,0
352,Q353,16,0
353,Q354,166,1
354,Q355,187,1
355,Q356,170,1
356,Q357,139,1
357,Q358,154,1
358,Q359,121,1
359,Q360,5,0
360,Q361,59,0
361,Q362,42,0
362,Q363,148,1
363,Q364,119,1
364,Q365,103,1
365,Q366,169,1
366,Q367,65,0
367,Q368,6,0
368,Q369,200,1
369,Q370,195,1
370,Q371,29,0
371,Q372,59,0
372,Q373,131,1
373,Q374,131,1
374,Q375,115,1
375,Q376,24,0
376,Q377,74,0
377,Q378,103,1
378,Q379,62,0
379,Q380,190,1
380,Q381,127,1
381,Q382,8,0
382,Q383,142,1
383,Q384,94,0
384,Q385,141,1
385,Q386,61,0
386,Q387,173,1
387,Q388,89,0
388,Q389,164,1
389,Q390,44,0
390,Q391,51,0
391,Q392,33,0
392,Q393,169,1
393,Q394,128,1
394,Q395,121,1
395,Q396,125,1
396,Q397,134,1
397,Q398,44,0
398,Q399,123,1
399,Q400,197,1
400,Q401,62,0
401,Q402,200,1
402,Q403,75,0
403,Q404,111,1
404,Q405,97,0
405,Q406,183,1
406,Q407,101,1
407,Q408,4,0
408,Q409,98,0
409,Q410,134,1
410,Q411,58,0
411,Q412,0,0
412,Q413,138,1
413,Q414,150,1
414,Q415,93,0
415,Q416,113,1
416,Q417,56,0
417,Q418,149,1
418,Q419,135,1
419,Q420,84,0
420,Q421,36,0
421,Q422,101,1
422,Q423,54,0
423,Q424,148,1
424,Q425,183,1
425,Q426,183,1
426,Q427,63,0
427,Q428,69,0
428,Q429,79,0
429,Q430,169,1
430,Q431,42,0
431,Q432,95,0
432,Q433,0,0
433,Q434,132,1
434,Q435,41,0
435,Q436,84,0
436,Q437,30,0
437,Q438,35,0
438,Q439,79,0
439,Q440,56,0
440,Q441,116,1
441,Q442,42,0
442,Q443,156,1
443,Q444,109,1
444,Q445,113,1
445,Q446,86,0
446,Q447,13,0
447,Q448,24,0
448,Q449,10,0
449,Q450,45,0
450,Q451,85,0
451,Q452,76,0
452,Q453,15,0
453,Q454,14,0
454,Q455,133,1
455,Q456,14,0
456,Q457,142,1
457,Q458,155,1
458,Q459,42,0
459,Q460,174,1
460,Q461,40,0
461,Q462,61,0
462,Q463,54,0
463,Q464,134,1
464,Q465,92,0
465,Q466,190,1
466,Q467,11,0
467,Q468,127,1
468,Q469,172,1
469,Q470,32,0
470,Q471,168,1
471,Q472,111,1
472,Q473,101,1
473,Q474,147,1
474,Q475,129,1
475,Q476,93,0
476,Q477,20,0
477,Q478,23,0
478,Q479,161,1
479,Q480,41,0
480,Q481,181,1
481,Q482,148,1
482,Q483,52,0
483,Q484,116,1
484,Q485,43,0
485,Q486,24,0
486,Q487,160,1
487,Q488,172,1
488,Q489,123,1
489,Q490,194,1
490,Q491,30,0
491,Q492,61,0
492,Q493,2,0
493,Q494,11,0
494,Q495,38,0
495,Q496,67,0
496,Q497,189,1
497,Q498,82,0
498,Q499,118,1
499,Q500,98,0
500,Q501,64,0
501,Q502,71,0
502,Q503,198,1
503,Q504,9,0
504,Q505,19,0
505,Q506,120,1
506,Q507,184,1
507,Q508,143,1
508,Q509,124,1
509,Q510,174,1
510,Q511,81,0
511,Q512,55,0
512,Q513,56,0
513,Q514,193,1
514,Q515,185,1
515,Q516,97,0
516,Q517,183,1
517,Q518,20,0
518,Q519,147,1
519,Q520,36,0
520,Q521,119,1
521,Q522,82,0
522,Q523,49,0
523,Q524,183,1
524,Q525,171,1
525,Q526,61,0
526,Q527,175,1
527,Q528,121,1
528,Q529,93,0
529,Q530,103,1
530,Q531,53,0
531,Q532,151,1
532,Q533,144,1
533,Q534,6,0
534,Q535,131,1
535,Q536,194,1
536,Q537,104,1
537,Q538,116,1
538,Q539,170,1
539,Q540,192,1
540,Q541,67,0
541,Q542,185,1
542,Q543,129,1
543,Q544,26,0
544,Q545,48,0
545,Q546,6,0
546,Q547,83,0
547,Q548,155,1
548,Q549,182,1
549,Q550,115,1
550,Q551,33,0
551,Q552,90,0
552,Q553,62,0
553,Q554,77,0
554,Q555,196,1
555,Q556,14,0
556,Q557,92,0
557,Q558,52,0
558,Q559,76,0
559,Q560,99,0
560,Q561,191,1
561,Q562,104,1
562,Q563,144,1
563,Q564,62,0
564,Q565,3,0
565,Q566,62,0
566,Q567,70,0
567,Q568,9,0
568,Q569,145,1
569,Q570,112,1
570,Q571,170,1
571,Q572,160,1
572,Q573,121,1
573,Q574,82,0
574,Q575,174,1
575,Q576,140,1
576,Q577,3,0
577,Q578,154,1
578,Q579,78,0
579,Q580,153,1
580,Q581,127,1
581,Q582,53,0
582,Q583,83,0
583,Q584,60,0
584,Q585,133,1
585,Q586,37,0
586,Q587,0,0
587,Q588,125,1
588,Q589,197,1
589,Q590,25,0
590,Q591,37,0
591,Q592,21,0
592,Q593,183,1
593,Q594,155,1
594,Q595,14,0
595,Q596,173,1
596,Q597,75,0
597,Q598,97,0
598,Q599,165,1
599,Q600,192,1
600,Q601,39,0
601,Q602,72,0
602,Q603,165,1
603,Q604,57,0
604,Q605,7,0
605,Q606,27,0
606,Q607,136,1
607,Q608,116,1
608,Q609,164,1
609,Q610,25,0
610,Q611,138,1
611,Q612,110,1
612,Q613,96,0
613,Q614,135,1
614,Q615,14,0
615,Q616,52,0
616,Q617,56,0
617,Q618,101,1
618,Q619,161,1
619,Q620,137,1
620,Q621,142,1
621,Q622,28,0
622,Q623,39,0
623,Q624,18,0
624,Q625,155,1
625,Q626,90,0
626,Q627,174,1
627,Q628,143,1
628,Q629,149,1
629,Q630,133,1
630,Q631,130,1
631,Q632,168,1
632,Q633,19,0
633,Q634,154,1
634,Q635,58,0
635,Q636,167,1
636,Q637,81,0
637,Q638,163,1
638,Q639,156,1
639,Q640,57,0
640,Q641,39,0
641,Q642,76,0
642,Q643,2,0
643,Q644,95,0
644,Q645,199,1
645,Q646,44,0
646,Q647,125,1
647,Q648,168,1
648,Q649,45,0
649,Q650,39,0
650,Q651,196,1
651,Q652,56,0
652,Q653,192,1
653,Q654,177,1
654,Q655,39,0
655,Q656,173,1
656,Q657,37,0
657,Q658,151,1
658,Q659,34,0
659,Q660,99,0
660,Q661,78,0
661,Q662,162,1
662,Q663,15,0
663,Q664,164,1
664,Q665,10,0
665,Q666,135,1
666,Q667,161,1
667,Q668,96,0
668,Q669,19,0
669,Q670,108,1
670,Q671,129,1
671,Q672,157,1
672,Q673,178,1
673,Q674,100,0
674,Q675,127,1
675,Q676,91,0
676,Q677,34,0
677,Q678,101,1
678,Q679,39,0
679,Q680,136,1
680,Q681,62,0
681,Q682,176,1
682,Q683,114,1
683,Q684,88,0
684,Q685,121,1
685,Q686,125,1
686,Q687,191,1
687,Q688,140,1
688,Q689,175,1
689,Q690,19,0
690,Q691,39,0
691,Q692,66,0
692,Q693,31,0
693,Q694,144,1
694,Q695,74,0
695,Q696,125,1
696,Q697,36,0
697,Q698,25,0
698,Q699,42,0
699,Q700,184,1
700,Q701,186,1
701,Q702,165,1
702,Q703,105,1
703,Q704,81,0
704,Q705,134,1
705,Q706,68,0
706,Q707,63,0
707,Q708,132,1
708,Q709,199,1
709,Q710,138,1
710,Q711,85,0
711,Q712,1,0
712,Q713,112,1
713,Q714,151,1
714,Q715,126,1
715,Q716,12,0
716,Q717,36,0
717,Q718,175,1
718,Q719,194,1
719,Q720,191,1
720,Q721,158,1
721,Q722,111,1
722,Q723,198,1
723,Q724,58,0
724,Q725,151,1
725,Q726,153,1
726,Q727,157,1
727,Q728,9,0
728,Q729,157,1
729,Q730,189,1
730,Q731,67,0
731,Q732,192,1
732,Q733,6,0
733,Q734,41,0
734,Q735,44,0
735,Q736,128,1
736,Q737,118,1
737,Q738,25,0
738,Q739,75,0
739,Q740,166,1
740,Q741,132,1
741,Q742,78,0
742,Q743,1,0
743,Q744,6,0
744,Q745,197,1
745,Q746,98,0
746,Q747,50,0
747,Q748,108,1
748,Q749,1,0
749,Q750,197,1
750,Q751,188,1
751,Q752,73,0
752,Q753,15,0
753,Q754,28,0
754,Q755,9,0
755,Q756,88,0
756,Q757,61,0
757,Q758,134,1
758,Q759,155,1
759,Q760,176,1
760,Q761,61,0
761,Q762,119,1
762,Q763,90,0
763,Q764,80,0
764,Q765,70,0
765,Q766,122,1
766,Q767,106,1
767,Q768,184,1
768,Q769,183,1
769,Q770,148,1
770,Q771,21,0
771,Q772,110,1
772,Q773,53,0
773,Q774,28,0
774,Q775,46,0
775,Q776,156,1
776,Q777,21,0
777,Q778,14,0
778,Q779,145,1
779,Q780,166,1
780,Q781,16,0
781,Q782,50,0
782,Q783,50,0
783,Q784,152,1
784,Q785,112,1
785,Q786,34,0
786,Q787,14,0
787,Q788,77,0
788,Q789,57,0
789,Q790,81,0
790,Q791,88,0
791,Q792,33,0
792,Q793,148,1
793,Q794,149,1
794,Q795,79,0
795,Q796,152,1
796,Q797,96,0
797,Q798,157,1
798,Q799,98,0
799,Q800,41,0
800,Q801,8,0
801,Q802,172,1
802,Q803,150,1
803,Q804,126,1
804,Q805,157,1
805,Q806,180,1
806,Q807,63,0
807,Q808,104,1
808,Q809,6,0
809,Q810,2,0
810,Q811,75,0
811,Q812,2,0
812,Q813,174,1
813,Q814,187,1
814,Q815,158,1
815,Q816,173,1
816,Q817,183,1
817,Q818,167,1
818,Q819,179,1
819,Q820,106,1
820,Q821,32,0
821,Q822,175,1
822,Q823,17,0
823,Q824,104,1
824,Q825,20,0
825,Q826,149,1
826,Q827,87,0
827,Q828,34,0
828,Q829,98,0
829,Q830,52,0
830,Q831,1,0
831,Q832,54,0
832,Q833,9,0
833,Q834,125,1
834,Q835,85,0
835,Q836,28,0
836,Q837,135,1
837,Q838,88,0
838,Q839,155,1
839,Q840,19,0
840,Q841,51,0
841,Q842,53,0
842,Q843,153,1
843,Q844,123,1
844,Q845,97,0
845,Q846,120,1
846,Q847,104,1
847,Q848,51,0
848,Q849,120,1
849,Q850,198,1
850,Q851,105,1
851,Q852,43,0
852,Q853,92,0
853,Q854,59,0
854,Q855,31,0
855,Q856,46,0
856,Q857,36,0
857,Q858,170,1
858,Q859,30,0
859,Q860,27,0
860,Q861,187,1
861,Q862,180,1
862,Q863,25,0
863,Q864,149,1
864,Q865,122,1
865,Q866,104,1
866,Q867,162,1
867,Q868,114,1
868,Q869,52,0
869,Q870,70,0
870,Q871,196,1
871,Q872,0,0
872,Q873,198,1
873,Q874,90,0
874,Q875,36,0
875,Q876,145,1
876,Q877,36,0
877,Q878,99,0
878,Q879,132,1
879,Q880,138,1
880,Q881,158,1
881,Q882,84,0
882,Q883,166,1
883,Q884,138,1
884,Q885,185,1
885,Q886,88,0
886,Q887,159,1
887,Q888,117,1
888,Q889,35,0
889,Q890,181,1
890,Q891,79,0
891,Q892,182,1
892,Q893,70,0
893,Q894,154,1
894,Q895,196,1
895,Q896,97,0
896,Q897,93,0
897,Q898,10,0
898,Q899,18,0
899,Q900,135,1
900,Q901,21,0
901,Q902,4,0
902,Q903,88,0
903,Q904,66,0
904,Q905,195,1
905,Q906,114,1
906,Q907,166,1
907,Q908,193,1
908,Q909,92,0
909,Q910,168,1
910,Q911,142,1
911,Q912,181,1
912,Q913,53,0
913,Q914,60,0
914,Q915,69,0
915,Q916,114,1
916,Q917,143,1
917,Q918,82,0
918,Q919,139,1
919,Q920,173,1
920,Q921,130,1
921,Q922,137,1
922,Q923,36,0
923,Q924,139,1
924,Q925,196,1
925,Q926,0,0
926,Q927,111,1
927,Q928,9,0
928,Q929,1,0
929,Q930,99,0
930,Q931,164,1
931,Q932,113,1
932,Q933,87,0
933,Q934,96,0
934,Q935,112,1
935,Q936,69,0
936,Q937,186,1
937,Q938,133,1
938,Q939,34,0
939,Q940,63,0
940,Q941,104,1
941,Q942,96,0
942,Q943,200,1
943,Q944,42,0
944,Q945,184,1
945,Q946,59,0
946,Q947,101,1
947,Q948,49,0
948,Q949,74,0
949,Q950,192,1
950,Q951,139,1
951,Q952,37,0
952,Q953,103,1
953,Q954,78,0
954,Q955,170,1
955,Q956,9,0
956,Q957,152,1
957,Q958,0,0
958,Q959,68,0
959,Q960,150,1
960,Q961,17,0
961,Q962,6,0
962,Q963,167,1
963,Q964,52,0
964,Q965,143,1
965,Q966,197,1
966,Q967,119,1
967,Q968,7,0
968,Q969,148,1
969,Q970,69,0
970,Q971,87,0
971,Q972,126,1
972,Q973,42,0
973,Q974,115,1
974,Q975,148,1
975,Q976,95,0
976,Q977,39,0
977,Q978,75,0
978,Q979,156,1
979,Q980,184,1
980,Q981,92,0
981,Q982,196,1
982,Q983,166,1
983,Q984,2,0
984,Q985,111,1
985,Q986,76,0
986,Q987,68,0
987,Q988,8,0
988,Q989,192,1
989,Q990,138,1
990,Q991,176,1
991,Q992,111,1
992,Q993,48,0
993,Q994,57,0
994,Q995,131,1
995,Q996,13,0
996,Q997,99,0
997,Q998,115,1
998,Q999,106,1
999,Q1000,193,1
1000,Q1001,186,1
1001,Q1002,162,1
1002,Q1003,75,0
1003,Q1004,137,1
1004,Q1005,151,1
1005,Q1006,20,0
1006,Q1007,56,0
1007,Q1008,102,1
1008,Q1009,118,1
1009,Q1010,68,0
1010,Q1011,87,0
1011,Q1012,80,0
1012,Q1013,111,1
1013,Q1014,75,0
1014,Q1015,103,1
1015,Q1016,137,1
1016,Q1017,38,0
1017,Q1018,160,1
1018,Q1019,146,1
1019,Q1020,125,1
1020,Q1021,176,1
1021,Q1022,177,1
1022,Q1023,63,0
1023,Q1024,184,1
1024,Q1025,10,0
1025,Q1026,189,1
1026,Q1027,104,1
1027,Q1028,142,1
1028,Q1029,98,0
1029,Q1030,103,1
1030,Q1031,61,0
1031,Q1032,89,0
1032,Q1033,26,0
1033,Q1034,152,1
1034,Q1035,136,1
1035,Q1036,41,0
1036,Q1037,92,0
1037,Q1038,161,1
1038,Q1039,46,0
1039,Q1040,74,0
1040,Q1041,68,0
1041,Q1042,76,0
1042,Q1043,156,1
1043,Q1044,30,0
1044,Q1045,91,0
1045,Q1046,121,1
1046,Q1047,4,0
1047,Q1048,102,1
1048,Q1049,3,0
1049,Q1050,104,1
1050,Q1051,81,0
1051,Q1052,168,1
1052,Q1053,89,0
1053,Q1054,183,1
1054,Q1055,155,1
1055,Q1056,29,0
1056,Q1057,56,0
1057,Q1058,138,1
1058,Q1059,172,1
1059,Q1060,73,0
1060,Q1061,188,1
1061,Q1062,3,0
1062,Q1063,113,1
1063,Q1064,167,1
1064,Q1065,182,1
1065,Q1066,153,1
1066,Q1067,80,0
1067,Q1068,58,0
1068,Q1069,167,1
1069,Q1070,102,1
1070,Q1071,12,0
1071,Q1072,174,1
1072,Q1073,126,1
1073,Q1074,98,0
1074,Q1075,197,1
1075,Q1076,2,0
1076,Q1077,157,1
1077,Q1078,137,1
1078,Q1079,83,0
1079,Q1080,139,1
1080,Q1081,194,1
1081,Q1082,188,1
1082,Q1083,200,1
1083,Q1084,72,0
1084,Q1085,98,0
1085,Q1086,191,1
1086,Q1087,184,1
1087,Q1088,89,0
1088,Q1089,181,1
1089,Q1090,11,0
1090,Q1091,142,1
1091,Q1092,85,0
1092,Q1093,180,1
1093,Q1094,31,0
1094,Q1095,188,1
1095,Q1096,171,1
1096,Q1097,94,0
1097,Q1098,171,1
1098,Q1099,105,1
1099,Q1100,113,1
1100,Q1101,4,0
1101,Q1102,192,1
1102,Q1103,5,0
1103,Q1104,94,0
1104,Q1105,83,0
1105,Q1106,57,0
1106,Q1107,25,0
1107,Q1108,198,1
1108,Q1109,56,0
1109,Q1110,3,0
1110,Q1111,113,1
1111,Q1112,47,0
1112,Q1113,200,1
1113,Q1114,127,1
1114,Q1115,25,0
1115,Q1116,193,1
1116,Q1117,14,0
1117,Q1118,174,1
1118,Q1119,113,1
1119,Q1120,169,1
1120,Q1121,85,0
1121,Q1122,181,1
1122,Q1123,191,1
1123,Q1124,142,1
1124,Q1125,45,0
1125,Q1126,150,1
1126,Q1127,154,1
1127,Q1128,176,1
1128,Q1129,83,0
1129,Q1130,171,1
1130,Q1131,50,0
1131,Q1132,22,0
1132,Q1133,14,0
1133,Q1134,174,1
1134,Q1135,110,1
1135,Q1136,78,0
1136,Q1137,163,1
1137,Q1138,21,0
1138,Q1139,65,0
1139,Q1140,65,0
1140,Q1141,5,0
1141,Q1142,143,1
1142,Q1143,72,0
1143,Q1144,82,0
1144,Q1145,39,0
1145,Q1146,154,1
1146,Q1147,37,0
1147,Q1148,105,1
1148,Q1149,193,1
1149,Q1150,110,1
1150,Q1151,91,0
1151,Q1152,31,0
1152,Q1153,83,0
1153,Q1154,190,1
1154,Q1155,80,0
1155,Q1156,140,1
1156,Q1157,19,0
1157,Q1158,195,1
1158,Q1159,160,1
1159,Q1160,120,1
1160,Q1161,78,0
1161,Q1162,75,0
1162,Q1163,153,1
1163,Q1164,125,1
1164,Q1165,51,0
1165,Q1166,31,0
1166,Q1167,192,1
1167,Q1168,30,0
1168,Q1169,11,0
1169,Q1170,39,0
1170,Q1171,111,1
1171,Q1172,165,1
1172,Q1173,77,0
1173,Q1174,34,0
1174,Q1175,171,1
1175,Q1176,94,0
1176,Q1177,52,0
1177,Q1178,74,0
1178,Q1179,126,1
1179,Q1180,67,0
1180,Q1181,87,0
1181,Q1182,120,1
1182,Q1183,140,1
1183,Q1184,35,0
1184,Q1185,98,0
1185,Q1186,137,1
1186,Q1187,19,0
1187,Q1188,110,1
1188,Q1189,187,1
1189,Q1190,149,1
1190,Q1191,141,1
1191,Q1192,103,1
1192,Q1193,154,1
1193,Q1194,99,0
1194,Q1195,168,1
1195,Q1196,42,0
1196,Q1197,38,0
1197,Q1198,119,1
1198,Q1199,161,1
1199,Q1200,41,0
1200,Q1201,26,0
1201,Q1202,175,1
1202,Q1203,183,1
1203,Q1204,49,0
1204,Q1205,181,1
1205,Q1206,40,0
1206,Q1207,94,0
1207,Q1208,80,0
1208,Q1209,153,1
1209,Q1210,117,1
1210,Q1211,96,0
1211,Q1212,198,1
1212,Q1213,26,0
1213,Q1214,12,0
1214,Q1215,73,0
1215,Q1216,180,1
1216,Q1217,64,0
1217,Q1218,45,0
1218,Q1219,115,1
1219,Q1220,34,0
1220,Q1221,12,0
1221,Q1222,165,1
1222,Q1223,165,1
1223,Q1224,66,0
1224,Q1225,60,0
1225,Q1226,55,0
1226,Q1227,48,0
1227,Q1228,196,1
1228,Q1229,118,1
1229,Q1230,115,1
1230,Q1231,182,1
1231,Q1232,108,1
1232,Q1233,113,1
1233,Q1234,77,0
1234,Q1235,85,0
1235,Q1236,87,0
1236,Q1237,88,0
1237,Q1238,143,1
1238,Q1239,26,0
1239,Q1240,126,1
1240,Q1241,91,0
1241,Q1242,197,1
1242,Q1243,25,0
1243,Q1244,7,0
1244,Q1245,52,0
1245,Q1246,96,0
1246,Q1247,33,0
1247,Q1248,23,0
1248,Q1249,159,1
1249,Q1250,42,0
1250,Q1251,181,1
1251,Q1252,173,1
1252,Q1253,94,0
1253,Q1254,44,0
1254,Q1255,140,1
1255,Q1256,69,0
1256,Q1257,24,0
1257,Q1258,61,0
1258,Q1259,159,1
1259,Q1260,193,1
1260,Q1261,154,1
1261,Q1262,109,1
1262,Q1263,143,1
1263,Q1264,21,0
1264,Q1265,138,1
1265,Q1266,94,0
1266,Q1267,193,1
1267,Q1268,103,1
1268,Q1269,160,1
1269,Q1270,66,0
1270,Q1271,192,1
1271,Q1272,171,1
1272,Q1273,67,0
1273,Q1274,63,0
1274,Q1275,71,0
1275,Q1276,4,0
1276,Q1277,134,1
1277,Q1278,61,0
1278,Q1279,107,1
1279,Q1280,14,0
1280,Q1281,142,1
1281,Q1282,31,0
1282,Q1283,71,0
1283,Q1284,131,1
1284,Q1285,113,1
1285,Q1286,137,1
1286,Q1287,176,1
1287,Q1288,92,0
1288,Q1289,191,1
1289,Q1290,4,0
1290,Q1291,150,1
1291,Q1292,14,0
1292,Q1293,16,0
1293,Q1294,1,0
1294,Q1295,94,0
1295,Q1296,124,1
1296,Q1297,146,1
1297,Q1298,147,1
1298,Q1299,35,0
1299,Q1300,33,0
1300,Q1301,76,0
1301,Q1302,96,0
1302,Q1303,58,0
1303,Q1304,89,0
1304,Q1305,76,0
1305,Q1306,9,0
1306,Q1307,66,0
1307,Q1308,111,1
1308,Q1309,144,1
1309,Q1310,92,0
1310,Q1311,124,1
1311,Q1312,109,1
1312,Q1313,60,0
1313,Q1314,36,0
1314,Q1315,112,1
1315,Q1316,109,1
1316,Q1317,77,0
1317,Q1318,16,0
1318,Q1319,180,1
1319,Q1320,170,1
1320,Q1321,24,0
1321,Q1322,146,1
1322,Q1323,111,1
1323,Q1324,176,1
1324,Q1325,8,0
1325,Q1326,126,1
1326,Q1327,157,1
1327,Q1328,43,0
1328,Q1329,168,1
1329,Q1330,167,1
1330,Q1331,125,1
